Index,Country,"Country
Code",Total,"Recorded
Consumption","Unrecorded
Consumption","Beer
Percent (%)","Wine
Percent (%)","Spirits
Percent (%)","Other
Percent (%)","GDP
(US$MM)","Purchase
Age","Death Rate
(per 100,000)"
85,Saint Vincent and the Grenadines,VCT,6.6,6.3,0.3,33.4,3.0,63.1,0.5, $815 ,16,5.80
86,Equatorial Guinea,GNQ,6.6,5.8,0.8,27.8,72.2,0.0,0.0," $10,069 ",21,2.60
87,Suriname,SUR,6.6,5.6,1.0,40.0,2.3,57.2,0.5," $3,665 ",18,1.97
88,Vietnam,VNM,6.6,2.0,4.6,97.3,0.6,2.1,0.0," $220,408 ",18,0.96
89,Lesotho,LSO,6.5,2.8,3.7,51.3,0.2,18.9,29.6," $2,721 ",18,1.54
90,Haiti,HTI,6.4,5.9,0.6,0.2,0.2,99.6,0.0," $8,360 ",16,4.36
91,Colombia,COL,6.2,4.2,2.0,66.1,1.1,32.5,0.3," $309,197 ",18,0.30
92,Ivory Coast,CIV,6.0,4.0,2.0,16.1,3.0,0.4,80.5," $40,360 ",21,4.01
93,Bolivia,BOL,5.9,3.8,2.1,76.8,3.8,19.3,0.1," $37,122 ",0,4.35
94,Swaziland,SWZ,5.7,4.7,1.0,33.6,0.8,0.7,65.0," $4,030 ",18,1.93
95,Zimbabwe,ZWE,5.7,4.7,1.0,23.7,1.7,6.8,67.7," $17,105 ",18,2.73
96,Seychelles,SYC,5.6,4.1,1.5,67.0,22.2,10.8,0.0," $1,479 ",18,1.21
97,Cambodia,KHM,5.5,2.2,3.3,45.7,0.8,53.5,0.0," $22,252 ",0,2.44
98,Philippines,PHL,5.4,4.6,0.9,26.9,0.3,72.7,0.0," $313,419 ",18,1.88
99,Costa Rica,CRI,5.4,4.4,1.0,59.3,4.7,35.5,0.5," $58,056 ",18,0.97
100,Armenia,ARM,5.3,3.8,1.5,9.7,5.3,84.9,0.0," $11,037 ",18,0.76
101,Cuba,CUB,5.2,4.2,1.0,38.8,2.2,58.9,0.0," $80,713 ",18,2.95
102,Nicaragua,NIC,5.0,3.5,1.5,38.8,0.5,60.6,0.0," $13,692 ",18,8.70
103,Jamaica,JAM,4.9,3.4,1.5,42.0,4.9,51.4,1.6," $14,290 ",18,0.31
104,Ghana,GHA,4.8,1.8,3.0,30.0,9.7,2.9,57.3," $47,032 ",18,1.99
105,Liberia,LBR,4.7,3.1,1.6,10.8,1.0,88.1,0.0," $2,140 ",18,1.70
106,Uzbekistan,UZB,4.6,2.4,2.1,18.3,6.3,75.4,0.0," $47,883 ",20,1.27
107,Chad,TCD,4.4,0.4,4.0,66.3,3.4,3.8,26.5," $9,740 ",18,3.06
108,United Arab Emirates,ARE,4.3,2.8,1.5,10.3,2.9,86.7,0.0," $377,435 ",18,0.42
109,Kyrgyzstan,KGZ,4.3,2.4,1.9,22.6,4.2,72.9,0.3," $7,061 ",18,5.75
110,India,IND,4.3,2.2,2.2,6.8,0.1,93.1,0.0," $2,611,012 ",18,0.70
111,Turkmenistan,TKM,4.3,2.2,2.2,15.4,26.1,58.4,0.0," $37,926 ",18,1.85
112,Kenya,KEN,4.3,1.8,2.5,56.1,1.8,21.6,20.4," $79,511 ",18,1.41
113,Ethiopia,ETH,4.2,0.7,3.5,49.7,0.6,8.2,41.4," $80,874 ",18,1.66
114,Honduras,HND,4.0,3.0,1.0,40.1,1.1,58.7,0.0," $22,975 ",18,1.91
115,Guinea-Bissau,GNB,4.0,2.5,1.5,19.6,14.9,22.4,43.0," $1,295 ",0,1.90
116,Zambia,ZMB,4.0,2.5,1.5,22.7,2.9,13.6,60.7," $25,504 ",18,1.48
117,Republic of the Congo,COG,3.9,1.7,2.2,78.4,9.8,10.9,0.8," $7,834 ",16,1.24
118,Guatemala,GTM,3.8,2.2,1.6,41.9,1.6,56.3,0.2," $75,661 ",18,10.60
119,Central African Republic,CAF,3.8,1.8,2.0,16.2,0.6,2.1,81.1," $1,992 ",21,2.39
120,North Korea,PRK,3.7,3.2,0.5,5.1,0.0,94.9,0.0," $12,380 ",None,1.11
121,Sri Lanka,LKA,3.7,2.2,1.5,13.0,0.1,85.2,1.7," $87,591 ",21,1.40
122,Mauritius,MUS,3.6,2.6,1.0,66.2,12.3,21.3,0.2," $12,273 ",18,2.86
123,Samoa,WSM,3.6,2.6,1.0,70.9,16.6,12.5,0.0, $844 ,21,0.47
124,Democratic Republic of the Congo,COD,3.6,2.3,1.3,24.0,0.7,2.0,73.3," $41,441 ",18,1.33
125,Gambia,GMB,3.4,2.4,1.0,5.6,0.7,0.3,93.5," $1,038 ",18,2.18
126,El Salvador,SLV,3.2,2.2,1.0,41.7,1.7,56.6,0.0," $28,023 ",18,17.56
127,Fiji,FJI,3.0,2.0,1.0,67.7,0.9,31.1,0.2," $5,054 ",18,0.15
128,Papua New Guinea,PNG,3.0,1.5,1.5,51.3,0.9,47.7,0.0," $23,617 ",18,0.84
129,Kiribati,KIR,3.0,1.0,2.0,36.9,2.2,60.9,0.0, $186 ,21,0.40
130,Tajikistan,TJK,2.8,0.3,2.5,10.2,1.1,88.7,0.0," $7,234 ",18,0.97
131,Israel,ISR,2.8,0.3,2.5,44.0,6.2,49.5,0.3," $350,609 ",18,0.56
132,Sudan,SDN,2.7,1.7,1.0,8.0,0.0,13.5,78.5," $58,239 ",None,0.73
133,Malawi,MWI,2.5,1.5,1.0,9.1,1.2,13.4,76.2," $6,261 ",18,1.32
134,Macedonia,MKD,2.4,1.9,0.5,18.2,29.1,52.4,0.3," $11,416 ",18,0.69
135,Azerbaijan,AZE,2.3,1.3,1.0,28.7,7.6,63.3,0.0," $40,670 ",18,1.32
136,Mozambique,MOZ,2.3,1.3,1.0,63.0,7.3,25.4,4.3," $12,345 ",18,1.43
137,Togo,TGO,2.3,1.3,1.0,48.9,26.9,2.4,21.8," $4,797 ",0,2.29
138,Nepal,NPL,2.2,0.2,2.0,47.7,0.9,51.4,0.0," $24,472 ",18,0.46
139,Bahrain,BHR,2.1,2.0,0.1,36.6,6.3,57.0,0.1," $34,895 ",18,0.85
140,Benin,BEN,2.1,1.1,1.0,54.6,21.7,7.2,16.5," $9,410 ",0,2.29
141,Singapore,SGP,2.0,1.5,0.5,70.1,13.5,14.7,1.7," $323,902 ",18,0.17
142,Turkey,TUR,2.0,1.4,0.6,63.6,8.6,27.9,0.0," $849,480 ",18,0.27
143,Madagascar,MDG,1.8,0.8,1.0,56.0,9.5,34.5,0.0," $10,557 ",18,0.99
144,Solomon Islands,SLB,1.7,1.2,0.5,81.1,2.1,16.7,0.0," $1,273 ",0,0.62
145,Tonga,TON,1.6,1.1,0.5,57.9,7.6,34.3,0.1, $437 ,18,0.51
146,Tunisia,TUN,1.5,1.3,0.2,68.6,27.7,3.7,0.0," $40,275 ",18,1.05
147,Qatar,QAT,1.5,0.9,0.6,1.2,13.9,84.6,0.3," $166,326 ",None,0.32
148,Vanuatu,VUT,1.4,0.9,0.5,40.5,22.8,36.7,0.0, $837 ,18,0.48
149,Djibouti,DJI,1.3,1.1,0.2,23.2,5.3,71.5,0.0," $2,082 ",None,1.70
150,Malaysia,MYS,1.3,0.3,1.0,76.2,2.0,21.8,0.1," $314,497 ",18,1.24
151,Syria,SYR,1.2,1.0,0.3,8.5,27.9,63.5,0.0," $77,460 ",18,0.27
152,Maldives,MDV,1.2,0.7,0.5,29.1,29.4,41.2,0.0," $4,520 ",None,3.88
153,Mali,MLI,1.1,0.6,0.5,13.3,1.5,2.1,83.1," $14,998 ",0,2.15
154,Eritrea,ERI,1.1,0.5,0.6,63.6,0.0,0.1,36.3," $6,050 ",18,1.93
155,Algeria,DZA,1.0,0.7,0.3,62.6,35.5,0.0,2.0," $178,287 ",18,0.20
156,Iran,IRN,1.0,0.0,1.0,24.8,52.1,1.0,1.0," $431,920 ",None,0.11
157,Oman,OMN,0.9,0.7,0.2,54.6,3.3,42.2,0.0," $74,274 ",21,0.33
158,Brunei,BRN,0.9,0.6,0.3,89.8,2.3,7.2,0.7," $11,963 ",None,0.17
159,Morocco,MAR,0.9,0.5,0.5,43.5,36.5,19.9,0.0," $109,824 ",16,0.85
160,Jordan,JOR,0.7,0.5,0.2,22.4,2.1,75.4,0.1," $40,487 ",18,0.28
161,Bhutan,BTN,0.7,0.4,0.3,100.0,0.0,0.0,0.0," $2,321 ",18,0.67
162,Guinea,GIN,0.7,0.2,0.5,78.9,16.3,3.7,1.1," $9,183 ",18,2.26
163,Myanmar,MMR,0.7,0.1,0.6,82.6,5.7,11.8,0.0," $66,537 ",18,3.36
164,Afghanistan,AFG,0.7,0.0,0.7,18.9,38.3,1.0,1.2," $20,889 ",None,0.83
165,Senegal,SEN,0.6,0.3,0.3,55.1,41.3,3.6,0.0," $16,057 ",18,1.82
166,Indonesia,IDN,0.6,0.1,0.5,84.5,0.1,15.3,0.0," $1,015,411 ",0,0.53
167,Timor-Leste,TLS,0.6,0.1,0.5,9.3,75.9,14.8,0.0," $2,716 ",0,1.75
168,Iraq,IRQ,0.5,0.2,0.3,76.1,1.0,22.9,0.0," $197,699 ",21,0.31
169,Somalia,SOM,0.5,0.0,0.5,9.2,19.2,0.5,0.5," $6,217 ",None,1.92
170,Egypt,EGY,0.4,0.2,0.2,53.8,5.4,40.3,0.5," $237,073 ",18,0.20
171,Niger,NER,0.3,0.1,0.2,46.0,13.2,40.7,0.0," $7,892 ",18,1.80
172,Yemen,YEM,0.3,0.1,0.2,100.0,0.0,0.0,0.0," $16,511 ",None,0.73
173,Comoros,COM,0.2,0.1,0.1,23.3,22.2,54.6,0.0, $659 ,18,1.83
174,Saudi Arabia,SAU,0.2,0.1,0.1,0.0,1.9,97.9,0.2," $683,827 ",None,0.39
175,Bangladesh,BGD,0.2,0.0,0.2,9.0,17.6,0.2,0.2," $261,374 ",None,0.45
176,Kuwait,KWT,0.1,0.0,0.1,58.1,10.8,30.7,0.4," $120,351 ",None,0.25
177,Libya,LBY,0.1,0.0,0.1,2.5,5.0,0.0,0.0," $31,331 ",None,0.48
178,Mauritania,MRT,0.1,0.0,0.1,0.0,0.0,0.0,0.0," $4,985 ",None,1.69
179,Pakistan,PAK,0.1,0.0,0.0,1.2,3.0,0.1,0.1," $303,993 ",21,0.38
